公司,日期,單價（每股）,股數（負買正賣）,股息,金額,手續費,過戶費,交易稅（僅賣）,額外費用,成本,收入,淨損益,已結清損益,已結清損益率,持有天數,備註
0056,2021-06-09,34.45,-1000,,34450,49.09125,0.17225,0,49.2635,34499 ,0 ,-34499.26 ,,,,賣的成本已經在收入那扣過了，所以看起來是0
,2025-03-11,35.8,1000,,35800,51.015,0,35.8,86.815,0 ,35713 ,35713.19 ,1214 ,3.52%,1371,
0056,2021-09-22,32.75,-1000,,32750,46.66875,0.16375,0,46.8325,32797 ,0 ,-32796.83 ,,,,
,2024-11-12,,,2130,0,0,0,0,0,0 ,2130 ,2130.00 ,,,,
,2025-02-20,,,2130,0,0,0,0,0,0 ,1060 ,1060.00 ,,,,
,2025-05-14,,,1060,0,0,0,0,0,0 ,856 ,856.00 ,,,,
,2025-08-08,,,856,0,0,0,0,0,0 ,2130 ,2130.00 ,,,,
,2025-11-14,,,856,0,0,0,0,0,0 ,856 ,856.00 ,,,,
,2026-02-11,,,856,0,0,0,0,0,0 ,856 ,856.00 ,,,,
,2026-04-14,40,1000,,40000,57,0,40,97,0 ,39903 ,39903.00 ,14994 ,45.72%,1665,
華碩,2024-10-21,592,-10,,5920,20,0.0296,0,20.0296,5940 ,0 ,-5940.03 ,,,,
,2025-03-11,650,10,,6500,20,0,19.5,39.5,0 ,6461 ,6460.50 ,520 ,8.76%,141,
雙鴻,2025-04-14,495,-10,,4950,20,0.02475,0,20.02475,4970 ,0 ,-4970.02 ,,,,
,2025-06-23,630,10,,6300,20,0,18.9,38.9,0 ,6261 ,6261.10 ,,,,
,2025-07-10,0,0,90,0,0,0,0,0,0 ,90 ,90.00 ,1381 ,27.79%,70,
大魯閣,2025-02-19,21.5,-1000,,21500,30.6375,0.1075,0,30.745,21531 ,0 ,-21530.75 ,,,,
,2025-10-13,17.5,1000,,17500,24.9375,0,52.5,77.4375,0 ,17423 ,17422.56 ,-4108 ,-23.58%,236,
技嘉,2024-11-11,305.5,-20,,6110,20,0.03055,0,20.03055,6130 ,0 ,-6130.03 ,,,,
,2025-01-15,250,-10,,2500,20,0.0125,0,20.0125,2520 ,0 ,-2520.01 ,,,,
,2025-04-11,198,-10,,1980,20,0.0099,0,20.0099,2000 ,0 ,-2000.01 ,,,,
,2025-08-28,,,390,0,0,0,0,0,0 ,390 ,390.00 ,,,,
,2025-10-13,290,40,,11600,20,0,34.8,54.8,0 ,11545 ,11545.20 ,1285 ,12.07%,336,
微星,2025-04-30,140,-30,,4200,20,0.021,0,20.021,4220 ,0 ,-4220.02 ,,,,
,2025-09-18,,,140,0,0,0,0,0,0 ,140 ,140.00 ,,,,
,2025-09-17,122,-20,,2440,20,0.0122,0,20.0122,2460 ,0 ,-2460.01 ,,,,
,2025-10-13,110,50,,5500,20,0,16.5,36.5,0 ,5464 ,5463.50 ,-1077 ,-16.12%,166,
0050,2025-07-24,51,-150,,7650,20,0.03825,0,20.03825,7670 ,0 ,-7670.04 ,,,,
,2025-10-13,60.5,150,,9075,20,0,9.075,29.075,0 ,9046 ,9045.93 ,1376 ,17.94%,81,
宏碁,2025-09-05,34.4,-175,,6020,20,0.0301,0,20.0301,6040 ,0 ,-6040.03 ,,,,
,2025-10-13,30,175,,5250,20,0,15.75,35.75,0 ,5214 ,5214.25 ,-826 ,-13.67%,38,
黃金ETF,2025-10-21,46.9,-120,,5628,20,0.02814,0,20.02814,5648 ,0 ,-5648.03 ,,,,如果要依消息面做短期殺進殺出就要果斷一點才有魚吃
,2026-02-02,50.35,120,,6042,20,0,6.042,26.042,0 ,6016 ,6015.96 ,368 ,6.51%,104,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
